#Table: J/A+A/425/367/reflex50.dat (http://cdsarc.cds.unistra.fr)
--------------------------------------------------------------------------------------------------------------------------------------------
               |          |n|                    |      |   |       |      |       |     |       |     |   |
               |          |_|                    |      |   |       |      |       |     |       |     |   |
               |          |N|                    |      |   |       |      |       |     |       |     |   |
               |          |a|                    |      |   |       |      |       |     |       |     |   |
               |          |m| R  R        D  D  D|      |  N|       |      |       |     |       |     | No|
   RXC         |Name      |e|Ah Am  RAs  Ed Em Es|     z|gal|   Flux|e_Flux| ObsLum| Aper| LumCor|   NH|tes|r_
---------------|----------|-|--------------------|------|---|-------|------|-------|-----|-------|-----|---|--------------------------------
RXCJ0231.9+0114|RCS145    |d|02 31 57.1 +01 14 40|0.0221| 10|  2.618|  21.1|  0.056| 14.5|  0.060|  2.9|   |55,64,110
RXCJ0232.2-4420|          | |02 32 16.8 -44 20 51|0.2836|  2|  4.074|  17.7| 13.723|  6.5| 15.080|  2.6|B  |S
RXCJ0236.6-1923|A0367     | |02 36 40.2 -19 23 13|0.0907| 27|  3.434|  14.6|  1.218|  8.5|  1.310|  2.7|   |140,141
RXCJ0237.4-2630|A0368     | |02 37 29.2 -26 30 17|0.2216| 10|  3.076|  15.4|  6.418|  6.5|  6.976|  1.6|   |E
RXCJ0248.0-0332|A0383     | |02 48 02.0 -03 32 15|0.1883|  1|  4.828|  18.3|  7.255| 10.0|  7.557|  4.1|   |S,7,147
RXCJ0249.6-3111|S0301     | |02 49 36.9 -31 11 19|0.0230| 28|  6.979|   8.6|  0.160| 17.0|  0.174|  1.8|L  |14,28,72,96
RXCJ0250.2-2129|          | |02 50 17.2 -21 29 56|0.2070|  2|  3.520|  16.5|  6.440|  6.5|  7.077|  2.5|X *|E
RXCJ0252.8-0116|NGC1132   | |02 52 49.4 -01 16 27|0.0235|  6|  6.028|  16.2|  0.144|  9.5|  0.176|  5.2|   |55,163
RXCJ0301.6+0155|Zw0258.9  |e|03 01 37.2 +01 55 11|0.1712| 14|  4.973|  15.8|  6.201|  6.0|  7.128|  7.7|X  |E
RXCJ0303.3+0155|A0409     | |03 03 21.1 +01 55 35|0.1530|  1|  5.072|  15.1|  5.096|  6.0|  5.857|  7.8|   |53
RXCJ0303.7-7752|          | |03 03 46.4 -77 52 09|0.2742|  8|  3.243|  20.2| 10.223|  6.0| 11.234|  8.9|   |E
RXCJ0304.1-3656|A3084     | |03 04 07.2 -36 56 36|0.2192|  2|  3.010|  15.5|  6.139|  7.0|  6.601|  2.0|   |E
RXCJ0307.0-2840|A3088     | |03 07 04.1 -28 40 14|0.2537| 10|  3.877|  17.3| 10.499|  9.0| 10.936|  1.4|   |E
RXCJ0311.4-2653|A3094     | |03 11 25.0 -26 53 59|0.0685| 23|  2.942|  50.4|  0.601|  8.0|  0.660|  1.6|   |3,17,33,96
RXCJ0314.3-4525|A3104     | |03 14 19.8 -45 25 27|0.0718|  4|  8.255|   9.5|  1.842|  9.5|  2.070|  3.6|   |E
RXCJ0317.9-4414|A3112     | |03 17 58.5 -44 14 20|0.0752| 38| 29.301|   3.9|  7.103| 15.5|  7.721|  2.5|   |S,3,31
RXCJ0322.2-5310|APMCC391  |f|03 22 12.7 -53 10 41|0.0797|  6|  3.099|  10.9|  0.862| 12.0|  0.889|  2.3|   |E
RXCJ0322.3-4121|A3122     | |03 22 18.6 -41 21 34|0.0643| 87|  6.233|   9.7|  1.121| 14.0|  1.168|  2.1|   |3,140,141
RXCJ0328.6-5542|A3126     | |03 28 37.5 -55 42 46|0.0853| 42|  8.441|   7.6|  2.661| 10.0|  2.924|  3.1|   |38,164
RXCJ0330.0-5235|A3128     | |03 30 00.7 -52 35 46|0.0624| 40| 12.707|   5.5|  2.150| 22.0|  2.194|  1.5|DL |3,38,131,165
